_link,id,tag,date,ocid,Payment Mode,initiationType,fiscal_year,buyer_name,tender_id,tender_stage,tender_title,tender_allowTwoStageTender,tender_status,tender_submissionMethodDetails,tender_procurementMethod,tender_mainProcurementCategory,tender_contractType,tender_numberOfTenderers,tender_datePublished,tender_allowPreferentialBidder,tender_externalReference,tender_value_amount,tender_bidOpening_date,tender_tenderPeriod_durationInDays,tenderclassification_description
id-13.443,ocds-kjhdrl-2018_BoTC_7767_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7767_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7767_1,Technical Bid Opening,Construction of Goreswar College (MT and BT) road from CHRN 30 bedded hospital Goreswar in Baksa District for the year 2015-16,No,NA,NA,Open Tender,Works,Item Rate,0,2018-06-30 11:00:00,No,TN-212/2,3476957,11-07-2018 11:00,180,Civil Works
id-13.444,ocds-kjhdrl-2018_BoTC_7780_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7780_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7780_1,AOC,Const of C C Block,No,NA,NA,Open Tender,Works,Works,2,2018-06-30 14:00:00,No,SOPD (AOP) - 25 of 2017-18,4527000,07-07-2018 16:30,180,Civil Works
id-13.445,ocds-kjhdrl-2018_BoTC_7846_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7846_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7846_1,Financial Evaluation,Construction of I.C.B.P Road from Batagaon to Deulguri Village Road.,No,NA,NA,Open Tender,Works,Works,3,2018-10-07 10:30:00,No,BTC/SCDB/07/2018,4903470,21-07-2018 16:30,180,Civil Works
id-13.446,ocds-kjhdrl-2018_BoTC_7896_4-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7896_4,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7896_4,AOC,Supply of Strawberry (Tissue Culture) Plant,No,NA,NA,Open Tender,Goods,Supply,3,2018-07-14 10:30:00,No,DA/BTC/K/e-Tender/2018-19/04,9936000,25-07-2018 13:00,180,Supply of Materials
id-13.447,ocds-kjhdrl-2018_BoTC_7986_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7986_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7986_1,Financial Evaluation,TN - 4/1,No,NA,NA,Open Tender,Works,Works,2,2018-07-24 10:30:00,No,TN No. 04/1,2493994,04-08-2018 14:00,180,Civil Works
id-13.448,ocds-kjhdrl-2018_BoTC_8046_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8046_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8046_1,Technical Bid Opening,SOPD(RD)10 of 2018-19,No,NA,NA,Open Tender,Works,Works,0,2018-07-28 9:00:00,No,"No. BTC/RD(SOPD)-148/2017/5 (A), Dtd.28/06/18",4158416,08-08-2018 17:30,90,Civil Works
id-13.449,ocds-kjhdrl-2018_BoTC_8089_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8089_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_8089_1,Financial Evaluation,Improvement of road with  sand gravelling from Kamarpara PWD link road to Muslim Basti via Maldangpara under SOPD CD 2018-19.,No,NA,NA,Open Tender,Works,Item Rate,2,2018-03-08 10:30:00,No,DPRD/BTC/SOPD/Koj167/18/Pt39/2,2165613,14-08-2018 14:00,180,Civil Works
id-13.450,ocds-kjhdrl-2018_BoTC_8167_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8167_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8167_1,Financial Evaluation,SOPD(RD)09 of 2018-19,No,NA,NA,Open Tender,Works,Works,3,2018-09-08 16:00:00,No,"No. BTC/RD(SOPD)-226/2017/10 , Dtd.24/05/2018",7920792,18-08-2018 17:30,120,Civil Works
id-13.451,ocds-kjhdrl-2018_BoTC_8194_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8194_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8194_1,Financial Evaluation,SOPD(RD)14 OF 2018-19,No,NA,NA,Open Tender,Works,Works,3,2018-10-08 18:30:00,No,BTC/RD(SOPD)13/2017/4 Dt29/05/18,4708911,27-08-2018 17:30,120,Civil Works
id-13.452,ocds-kjhdrl-2018_BoTC_8267_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8267_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8267_1,AOC,Construction of RCC slab type Culvert near Batabari Beat Office on the Doomni Tekelibhanga Road_2 Cell RCC Box Cell Culvert including Protection Work.,No,NA,NA,Open Tender,Works,Item Rate,3,2018-08-18 17:00:00,No,TN-307/3,2378876,01-09-2018 11:00,180,Civil Works
