_link,_link_main,code,type,title,type.1,dueDate,title.1,dueDate.1
id-0.146.tender.milestones.0,id-0.146,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.147.tender.milestones.0,id-0.147,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.148.tender.milestones.0,id-0.148,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.149.tender.milestones.0,id-0.149,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.150.tender.milestones.0,id-0.150,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.151.tender.milestones.0,id-0.151,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.152.tender.milestones.0,id-0.152,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.153.tender.milestones.0,id-0.153,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.154.tender.milestones.0,id-0.154,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.155.tender.milestones.0,id-0.155,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.156.tender.milestones.0,id-0.156,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.157.tender.milestones.0,id-0.157,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.158.tender.milestones.0,id-0.158,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.159.tender.milestones.0,id-0.159,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.160.tender.milestones.0,id-0.160,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.161.tender.milestones.0,id-0.161,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.162.tender.milestones.0,id-0.162,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.163.tender.milestones.0,id-0.163,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.164.tender.milestones.0,id-0.164,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.165.tender.milestones.0,id-0.165,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.166.tender.milestones.0,id-0.166,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.167.tender.milestones.0,id-0.167,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.168.tender.milestones.0,id-0.168,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.169.tender.milestones.0,id-0.169,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.170.tender.milestones.0,id-0.170,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.171.tender.milestones.0,id-0.171,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.172.tender.milestones.0,id-0.172,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
